"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GRIA1",189.330425421561,-5.09138702720954,1.05486643516209,-3.8785830042842,0.000105066677780516,0.00585695889911322
"GRIN2D",162.810985013019,3.08688339139783,0.483639872984265,4.31495314586216,1.59636757964716e-05,0.00124827276669152
"GRM4",47.4358219195436,4.5851584145963,0.693018748961867,5.17324880454795,2.30058341651068e-07,3.68114648340011e-05
"GSN",85825.3059216386,-3.20479275533258,0.52563188558513,-4.19455671506347,2.73405739207368e-05,0.00195487498607932
"GYS2",310.01214712176,-9.38279902730894,1.94867242937903,-4.30179998491599,1.69416209516626e-05,0.00131286166666225
"HBA2",4687.2998309208,-6.55566089075911,0.77592828669872,-7.16001850428258,8.06661716793186e-13,1.16166009399192e-09
"HBB",7422.54459681472,-7.32218832039742,0.75115723702941,-8.41659776240682,3.87575587781461e-17,1.67442343311286e-13
"TLX1",318.593961697891,7.46511793653056,1.39458167704323,4.63588332111019,3.55416418175821e-06,0.000352985696695193
"HSD11B1",927.939277180656,-4.51391016606851,0.917641000522585,-3.82928635933593,0.000128515395334902,0.00677095898409283
"IGFBP6",2146.52413050321,-3.51384256541921,0.59641521277482,-4.21492026288794,2.49866453846994e-05,0.00183742220805528
"INHBA",985.39360388551,4.40324418362427,0.671537474250129,5.06783956833458,4.02356297682706e-07,5.83970962802429e-05
"ITGA7",7425.24741101504,-5.07164915112149,0.676463140417564,-6.01902588307792,1.75469813461291e-09,5.51326153895376e-07
"KCNB1",392.491205061332,-5.16800193997218,0.75679216866614,-5.50745913150549,3.64049889641949e-08,7.86393267862814e-06
"KCNG1",366.480093528173,4.75710766333511,0.975187854757788,3.85270145132014,0.000116821794403238,0.00640519890655391
"LEP",13342.7487133952,-9.18731748140511,1.11490744077391,-7.34349523734627,2.08086805414758e-13,4.49493510546555e-10
"LEPR",3703.20516550399,-3.74194192503025,0.50417562956966,-5.43846581273799,5.37413189881204e-08,1.04348734093675e-05
"LHCGR",28.1338777116633,-7.18922164045962,1.45369003124942,-4.25759378368999,2.06638983545143e-05,0.0015661966116858
"LIFR",8407.54543581591,-2.81793159118019,0.444500425980914,-4.08983093136169,4.31687741011389e-05,0.00282575600470372
"LIPE",22171.3469282574,-6.9148172044279,0.891700718143935,-6.63318654350702,3.28516194559509e-11,2.10262531784551e-08
"MAOA",12054.2436044498,-5.28266433489658,0.810936115689191,-5.28113651869712,1.2838497901429e-07,2.21862082234595e-05
"MEOX2",1216.16728419915,-3.49075664452386,0.659225362473066,-3.77830827864367,0.000157897343200887,0.00784087352831763
"MFAP2",1799.43174183865,2.84753341067332,0.421575093064891,4.38245389982974,1.17350002492537e-05,0.000956568581638462
"MME",12493.0915325449,-3.59480058850488,0.599976111782565,-4.3248398353654,1.52642724227528e-05,0.00120448352391594
"MMP1",451.312627309509,6.85632779341652,1.23370064864586,4.74696013157207,2.06496634896031e-06,0.000230223764363762
"MMP11",9462.4312373548,6.44362529079679,0.755955228137609,7.20098901122471,5.9777365643078e-13,1.03301265567803e-09
"MMP13",405.365560087505,8.14333468738054,0.789336614277969,9.04979518011435,1.43236758973429e-19,8.25091477273273e-16
"MYBL2",2975.66540597878,5.8591541848959,0.927032282988508,5.24162348395383,1.59169902649267e-07,2.67050008512814e-05
"MYH1",166.707101834421,-7.1615872291417,0.95839883194705,-6.42904292425319,1.28409866108214e-10,5.99743485463796e-08
"MYOC",905.990877684197,-8.96404751155173,1.12527393712409,-7.07742999176339,1.4685233636883e-12,1.95211940368442e-09
"NEK2",862.88842469646,5.12193795926404,0.996223126202604,4.13756502017375,3.5101099888662e-05,0.00236946135615612
"NOVA1",1038.04266173789,-4.24601848472606,0.731897025695841,-4.43507538733328,9.2040074629753e-06,0.000783519472747173
"NPR1",4449.77702968057,-4.64969316698356,0.658686878763305,-5.54086210709998,3.00986161715222e-08,6.84387086921152e-06
"NTRK2",12113.321874927,-3.9223965780029,0.536526785117505,-5.44687918490941,5.12612558396648e-08,1.01581586302481e-05
"PCDH9",568.61622930695,-4.85808471142742,0.75389302592172,-5.11754927923689,3.09531204731162e-07,4.6513119556167e-05
"PCK1",5939.33412227227,-9.02033831819001,1.19530847031206,-6.70984814162332,1.94827061482904e-11,1.40283602061919e-08
"PDE2A",2744.84041536621,-4.13845222578194,0.595180262160247,-5.27311207261933,1.34129597282567e-07,2.29494412934658e-05
"PDE3B",6275.00128265781,-5.91199962716685,1.03961425786249,-4.72482903155466,2.30309035775008e-06,0.000248748152951745
"PDK4",15412.7140345233,-3.29282044347668,0.551620960986465,-4.1565143561195,3.23139875454893e-05,0.00219849613690394
"ENPP2",7896.81225152121,-3.6203670862306,0.517560232509504,-5.06292199755221,4.12878815109414e-07,5.84832688844736e-05
"PFKFB1",723.157904650992,-6.31519949569836,1.02595808067018,-5.18071799992682,2.21033437477145e-07,3.56979330190892e-05
"PLIN1",58744.3741693506,-7.9909648381317,1.15714519141534,-6.04156236399412,1.52628990587343e-09,4.97656903082994e-07
"PLK1",1125.3688947394,4.79163281656671,0.845628525287828,4.48380429843724,7.33239141454964e-06,0.000643203330126052
"FXYD1",811.69117623317,-4.54868086558904,0.845553099268386,-4.19687523901163,2.70622912500072e-05,0.00194859772954739
"PPARG",5247.58362984949,-5.12279708540398,0.732714703047742,-5.62674267113123,1.83644369095535e-08,4.40771991991659e-06
"PPP1R1A",7368.84387548697,-5.9810778291656,0.912342860306002,-5.45965562496421,4.77059011887859e-08,9.58611254003964e-06
"PRELP",8721.0027205814,-3.4312035775498,0.656166544749731,-3.70516235093499,0.00021125537634316,0.00970894908065009
"PRKAR2B",19180.0417264491,-4.34904865669894,0.737108433791027,-4.54349523512359,5.53290566416256e-06,0.000519642080339094
"MAPK10",1159.25254714366,-3.67632129091506,0.607552379340943,-4.40508733389912,1.05741268125362e-05,0.000891100915350169
"MASP1",227.441310587002,-4.12574204550613,0.702104754769739,-4.45195966025219,8.50901538376705e-06,0.000735221474234392
"PTH1R",457.004741015093,-3.81682022680779,0.761798085137919,-3.6975942598987,0.000217652410154639,0.00987205065585912
"PTPRN",107.099154181195,6.62954989546428,0.920207327720845,6.1176973121997,9.49371747777916e-10,3.41793607778129e-07
"PYGM",597.551206118831,-6.05479861545386,0.960251289877125,-5.26403730850565,1.4092583219528e-07,2.38758755506533e-05
"RBP4",11267.6160787519,-7.98829439888273,1.06485023482892,-6.56270165541681,5.28415067340078e-11,3.04384692623463e-08
"RDH5",2461.25333711953,-5.75159171354174,0.89611668299487,-5.30242523513977,1.1427427271845e-07,2.00006014782665e-05
"RGS4",1289.8451780186,4.37742106128848,0.711860160681024,4.74450074303549,2.09021212091299e-06,0.000231544587573701
"SAA1",7310.71303470797,-4.63858592114732,0.944224713848072,-3.85351693064537,0.00011643320815022,0.00640519890655391
